,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
0,0.0,2018-06-10 02:24:23,1.0,0.0,0.0,BBCWorld,@bobsnsane1 @BBCWorld Why do we refer to guns as american and knifes to Muslims ? Crook's will hind behind religion… https://t.co/XgLKwGOvQU,1
1,-0.0516,2018-06-10 02:24:18,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",2
2,-0.0516,2018-06-10 02:24:10,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",3
3,0.0,2018-06-10 02:24:07,1.0,0.0,0.0,BBCWorld,https://t.co/bOACIpIUht @eBay @youtube @cnn @BBCBreaking @google @BBCWorld @twitter @cnnbrk @nytimes… https://t.co/t2SIOLZhoZ,4
4,-0.0516,2018-06-10 02:23:35,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",5
5,0.0,2018-06-10 02:23:34,1.0,0.0,0.0,BBCWorld,@mtzuker @BBCWorld It has holes on it,6
6,0.0,2018-06-10 02:22:54,1.0,0.0,0.0,BBCWorld,RT @Mom0U812: @RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah @altGS_rocks @bartenderResi…,7
7,0.0,2018-06-10 02:22:33,1.0,0.0,0.0,BBCWorld,Irish Sea. Chilly. https://t.co/CghPfsPqHM,8
8,0.0,2018-06-10 02:22:25,1.0,0.0,0.0,BBCWorld,"RT @shiksha_mitra: क्या यूपी में बदले की भावना से काम हो रहा है
उत्तराखंड,मध्यप्रदेश, हरियाणा,दिल्ली और राज्य में समाधान हो सकता है तो यूपी…",9
9,0.3612,2018-06-10 02:22:15,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",10
10,0.25,2018-06-10 02:22:09,0.882,0.0,0.118,BBCWorld,"@BBCWorld @TVMohandasPai @realDonaldTrump ""Has been taken advantage of"", in a unipolar world,not quite the thing. W… https://t.co/syOmdcUN7J",11
11,0.0,2018-06-10 02:21:59,1.0,0.0,0.0,BBCWorld,@BBCNewsnight @EvanHD The @BBCNewsnight @BBCR1 @BBCWorld @BBCNews always comes across as not understanding or liste… https://t.co/6cZtIIm7Fn,12
12,0.3612,2018-06-10 02:21:49,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",13
13,0.0,2018-06-10 02:21:47,1.0,0.0,0.0,BBCWorld,RT @JPMarat77: @BBCWorld They must have started taking in refugees,14
14,0.6341,2018-06-10 02:21:45,0.489,0.0,0.511,BBCWorld,@BBCWorld Way to go!! Impressive!,15
15,-0.0516,2018-06-10 02:21:34,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",16
16,0.0,2018-06-10 02:21:26,1.0,0.0,0.0,BBCWorld,RT @sameermparab: @rashtrapatibhvn @PMOIndia @rsprasad @HRDMinistry @MinistryWCD @TweeterSupport @facebook @abpnewstv @ZeeNews @CNBC @BBCWo…,17
17,0.3612,2018-06-10 02:21:14,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",18
18,0.3612,2018-06-10 02:20:51,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",19
19,0.0,2018-06-10 02:20:50,1.0,0.0,0.0,BBCWorld,RT @TehseenAbidi: @cnnbrk @BBCBreaking  @ABC  @ARYNEWSOFFICIAL @geonews_urdu @ExpressNewsPK  @arynewsud @92newschannel  @24NewsHD @ajjnews4…,20
20,0.0,2018-06-10 02:20:29,1.0,0.0,0.0,BBCWorld,Epic. https://t.co/bH07Pkonlj,21
21,-0.0516,2018-06-10 02:20:23,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",22
22,0.0,2018-06-10 02:19:27,1.0,0.0,0.0,BBCWorld,Apparently there's enough of these to warrant it's own bbc article @cousins_ben https://t.co/3rjdZrHsHO,23
23,0.0,2018-06-10 02:19:13,1.0,0.0,0.0,BBCWorld,@SarvenazMorshe2 @ThamsanqaNcube8 @BBCWorld Why did you write that?,24
24,0.0,2018-06-10 02:19:10,1.0,0.0,0.0,BBCWorld,@Mom0U812 @RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah… https://t.co/jhqwBAPtdA,25
25,-0.8689,2018-06-10 02:19:02,0.612,0.388,0.0,BBCWorld,RT @mycriticaltoday: @BBCWorld UK imprisoned #TommyRobinson for fighting against sex grooming gangs in the UK. @BBC - no news -- fake news…,26
26,0.0,2018-06-10 02:18:51,1.0,0.0,0.0,BBCWorld,RT @agrapolice: आगरा पुलिस विदेशी पर्यटकों से उनकी भाषा मे बात करेगी। @dgpup @Uppolice @upcoprahul @UPPolNRI @adgzoneagra @igrangeagra @ami…,27
27,-0.0516,2018-06-10 02:18:16,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",28
28,0.0,2018-06-10 02:18:06,1.0,0.0,0.0,BBCWorld,https://t.co/jYIGBCkBiE @eBay @youtube @cnn @BBCBreaking @google @BBCWorld @twitter @cnnbrk @nytimes… https://t.co/itEF5GmROL,29
29,-0.0516,2018-06-10 02:18:06,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",30
30,-0.0516,2018-06-10 02:17:57,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",31
31,0.0,2018-06-10 02:17:56,1.0,0.0,0.0,BBCWorld,RT @Mom0U812: @RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah @altGS_rocks @bartenderResi…,32
32,0.0,2018-06-10 02:17:55,1.0,0.0,0.0,BBCWorld,@BBCWorld 😂😂😂awesome!!,33
33,-0.0516,2018-06-10 02:17:44,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",34
34,0.0,2018-06-10 02:17:31,1.0,0.0,0.0,BBCWorld,https://t.co/N3Dj8XwrJo @RadioPakistan @bbcworld @gillespeterson,35
35,0.0382,2018-06-10 02:17:24,0.913,0.0,0.087,BBCWorld,@BartholemueW @BBCWorld Can't pay their NATO bill but they have money for this.👌,36
36,0.0,2018-06-10 02:16:54,1.0,0.0,0.0,BBCWorld,@BBCWorld Taco bell?,37
37,-0.4588,2018-06-10 02:16:54,0.4,0.6,0.0,BBCWorld,Desperation usually https://t.co/EWRheT6qMI,38
38,0.0258,2018-06-10 02:16:53,0.879,0.0,0.121,BBCWorld,Finally someone tackling the issues that matter most https://t.co/s3AA5aeS22,39
39,0.3612,2018-06-10 02:16:48,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",40
40,0.0,2018-06-10 02:16:42,1.0,0.0,0.0,BBCWorld,@BBCWorld 6666,41
41,0.0,2018-06-10 02:16:36,1.0,0.0,0.0,BBCWorld,"RT @schanderkaushik: @BBCWorld En mass human in numbers to have gathered to take holy dip in any river, Indian Kumbh celiberations to occur…",42
42,0.3612,2018-06-10 02:16:25,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",43
43,0.368,2018-06-10 02:16:06,0.798,0.0,0.202,BBCWorld,RT @SteveDavidMike2: FYI Yalls V🌷🇷🇴😁@Sun🌞@Water @BigBird @RealDonaldTrump🇺🇸@VP @JustinTrudeau🇨🇦@PutinRF🇷🇺@JustinBieber @Slash @BillGates @T…,44
44,-0.4767,2018-06-10 02:16:03,0.392,0.608,0.0,BBCWorld,@waikikigigi @BBCWorld Sad,45
45,0.7184,2018-06-10 02:15:59,0.714,0.0,0.286,BBCWorld,"@Bradthebloke @BBCWorld @realDonaldTrump Sweetie, thankfully I’m not from America so this isn’t my problemo, I’m li… https://t.co/HS8RPASIjt",46
46,-0.0516,2018-06-10 02:15:55,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",47
47,0.0,2018-06-10 02:15:52,1.0,0.0,0.0,BBCWorld,1日前だったらその時間下りの新幹線の中だったので、私も遭遇していた可能性があるので怖い事件だ！ https://t.co/IkwrQZTBR5,48
48,0.0,2018-06-10 02:15:44,1.0,0.0,0.0,BBCWorld,Deadly stabbing on Japan bullet train https://t.co/JPowQMwJqH,49
49,0.0,2018-06-10 02:15:40,1.0,0.0,0.0,BBCWorld,"@BBCWorld En mass human in numbers to have gathered to take holy dip in any river, Indian Kumbh celiberations to oc… https://t.co/nCtYzMxiSi",50
50,0.0772,2018-06-10 02:15:39,0.698,0.0,0.302,BBCWorld,@BBCWorld We want too🙋,51
51,-0.4753,2018-06-10 02:15:36,0.838,0.162,0.0,BBCWorld,"RT @luisperea11: @AJEnglish @TIME @BBCWorld protesting against government aid delays, negligence, corruption! The voice of the Guatemalans…",52
52,-0.5307,2018-06-10 02:15:16,0.671,0.329,0.0,BBCWorld,@BBCWorld SEE! GUN CONTROL DOESNT WORK- NRA Guy,53
53,0.8944,2018-06-10 02:15:15,0.566,0.0,0.434,BBCWorld,@BBCWorld Thats really fantastic! THAT MEANS OF COURSE HES REFERRING TO THE NEW TYPE CLEAN ENERGY PRIESTS!,54
54,0.0,2018-06-10 02:15:03,1.0,0.0,0.0,BBCWorld,RT @7L2CNC: 10時の拡散！メイ英国首相並びにイギリスの皆さん、日本国民は日立がイギリスに原発を輸出するのに反対しています。命と国土を汚す原発は合理的発電方法ではありません。福島もチェルノブイリも解決していません。日立から原発を買わないでください。@theresa_m…,55
55,0.0,2018-06-10 02:15:00,1.0,0.0,0.0,BBCWorld,@BBCWorld Where is the pictures,56
56,0.0,2018-06-10 02:15:00,1.0,0.0,0.0,BBCWorld,"@BBCWorld Umm, the urge to go...",57
57,0.0,2018-06-10 02:14:50,1.0,0.0,0.0,BBCWorld,@RedTRaccoon @CNN @cnni @CNNPolitics @MSNBC @maddow @laurenduca @VanityFair @TIME @thehill @Oprah @altGS_rocks… https://t.co/XNtvSAdduL,58
58,0.0,2018-06-10 02:14:43,1.0,0.0,0.0,BBCWorld,"@mscott7612 @JPMarat77 @BBCWorld You think they are all ""Muhammads""? Get educated, bigot.",59
59,0.0,2018-06-10 02:14:39,1.0,0.0,0.0,BBCWorld,RT @agrapolice: आगरा पुलिस विदेशी पर्यटकों से उनकी भाषा मे बात करेगी। @dgpup @Uppolice @upcoprahul @UPPolNRI @adgzoneagra @igrangeagra @ami…,60
60,0.3182,2018-06-10 02:14:26,0.635,0.0,0.365,BBCWorld,"@thebullettrain @BBCWorld Squeak English, please.",61
61,0.6452,2018-06-10 02:13:36,0.589,0.114,0.297,BBCWorld,"@BBCWorld There is a saying in Russia  that goes more or less like this"" those who smile are dumb or filty rich""",62
62,0.0,2018-06-10 02:13:19,1.0,0.0,0.0,BBCWorld,RT @TehseenAbidi: @cnnbrk @BBCBreaking  @ABC  @ARYNEWSOFFICIAL @geonews_urdu @ExpressNewsPK  @arynewsud @92newschannel  @24NewsHD @ajjnews4…,63
63,0.3612,2018-06-10 02:13:16,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",64
64,0.0,2018-06-10 02:12:56,1.0,0.0,0.0,BBCWorld,@BBCWorld Tell us @AmaliyaDeluxx,65
65,0.0,2018-06-10 02:12:50,1.0,0.0,0.0,BBCWorld,"RT @nishantchat: #PartyChaleOn 

सिंगापोर में प्रेज़िडेंट ट्रम्प और किम के डूप्लिकेट की पार्टी  

 https://t.co/D48rsAvtGZ",66
66,0.0,2018-06-10 02:12:27,1.0,0.0,0.0,BBCWorld,"RT @Nasirkhansf: Watch Imran Khan's latest interview with @BBCWorld
In my opinion he wasn't able to answer any question by the presenter.
@…",67
67,0.0,2018-06-10 02:12:23,1.0,0.0,0.0,BBCWorld,@Aadiiroy @zahid_pmln Now @Jemima_Khan should sue @BBCWorld as she said to sue @RehamKhan1,68
68,0.3612,2018-06-10 02:12:22,0.815,0.0,0.185,BBCWorld,"@gcoleman86 @realDonaldTrump @CBCNews @CNN @BBCWorld @maddow @BC1 @simisara980 Grant, Canada is a joke...",69
69,-0.8689,2018-06-10 02:12:22,0.612,0.388,0.0,BBCWorld,RT @mycriticaltoday: @BBCWorld UK imprisoned #TommyRobinson for fighting against sex grooming gangs in the UK. @BBC - no news -- fake news…,70
70,-0.0516,2018-06-10 02:12:13,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",71
71,0.0,2018-06-10 02:12:05,1.0,0.0,0.0,BBCWorld,RT @nitin33K: @rsprasad @_DigitalIndia @GoI_MeitY @PMOIndia @loksabhatv @DDNational @HRC @NITIAayog @SwachhBharatGov @LogicalIndians @swach…,72
72,0.0,2018-06-10 02:11:42,1.0,0.0,0.0,BBCWorld,@JPMarat77 @BBCWorld With Japanese names...,73
73,0.7717,2018-06-10 02:11:31,0.676,0.0,0.324,BBCWorld,RT @saidalammahsud: @OfficialDGISPR praised sacrifices of #Wana peace committee. امن کمیٹی#PashtunTahaffuzMovement say that it’s not peace…,74
74,0.3182,2018-06-10 02:11:28,0.867,0.0,0.133,BBCWorld,"RT @Vangalee37: @Rouvafe Please mention all concerned handles .....
@PoliceNG @MBuhari @AsoRock @lagos @AkinwunmiAmbode @AsoRock @BBCWorld…",75
75,-0.6124,2018-06-10 02:11:16,0.75,0.25,0.0,BBCWorld,"@AshaRangappa_ Oh #DonnieLIMPY @realDonaldTrump , are you still embarrassed and sore that Angela Merkel put you in… https://t.co/5LFHJfWUzJ",76
76,-0.4753,2018-06-10 02:11:09,0.829,0.171,0.0,BBCWorld,"@AJEnglish @TIME @BBCWorld protesting against government aid delays, negligence, corruption! The voice of the Guate… https://t.co/YqINGe09dN",77
77,0.0,2018-06-10 02:11:09,1.0,0.0,0.0,BBCWorld,@kanhaiyajnusu @Shehla_Rashid @UmarKhalidJNU @ReallySwara @sonamakapoor @_sabanaqvi @TV9Telugu @ravishndtv… https://t.co/zxt4NCTGfV,78
78,0.0,2018-06-10 02:11:05,1.0,0.0,0.0,BBCWorld,"RT @baphomed75: Hem de fer viral aquest video de @TYellows que arribi ben lluny!
#LlibertatPresosPolitics #FreeCatalanPoliticalPrisoners 
@…",79
79,0.0,2018-06-10 02:10:37,1.0,0.0,0.0,BBCWorld,Ew... 🤢 https://t.co/wySdumvbJP,80
80,0.0,2018-06-10 02:10:34,1.0,0.0,0.0,BBCWorld,"RT @AshokKu17646109: भीषण गर्मी मे भूखे प्यासे अपने बच्चों को छोड़कर 18मई से राजधानी लखनऊ में धरना दे रहे हैं शिक्षामित्र
700 शिक्षामित्र म…",81
81,-0.4215,2018-06-10 02:10:30,0.853,0.147,0.0,BBCWorld,"RT @JuiChakravorty: ""I got stopped by a policeman...and he asked me to show my ID.
Afterwards I asked him why he stopped me. He said becaus…",82
82,0.0,2018-06-10 02:10:28,1.0,0.0,0.0,BBCWorld,新幹線で刺殺 https://t.co/Hc8r08tXnL,83
83,0.3612,2018-06-10 02:10:10,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",84
84,0.3612,2018-06-10 02:10:07,0.872,0.0,0.128,BBCWorld,"RT @BBCWorld: Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",85
85,0.4767,2018-06-10 02:10:07,0.552,0.129,0.319,BBCWorld,"@bobsnsane1 @BBCWorld Yes they are, alas, ejiots like you are more populous.",86
86,0.0,2018-06-10 02:09:58,1.0,0.0,0.0,BBCWorld,@JamesWakibia @2HawkEye2018 @WorldOceansDay @Seasaver @aplastic_planet @theflipflopi @UNKiswahili @BBCWorld… https://t.co/HC1UmL3ERz,87
87,0.0,2018-06-10 02:09:56,1.0,0.0,0.0,BBCWorld,@Babble524 @BDUTT @RanaAyyub @jigneshmevani80 @UNHumanRights @BBCWorld Jb kuch nahi chala to sabka ye natak shuru h… https://t.co/MvDdTH20LK,88
88,0.0,2018-06-10 02:09:55,1.0,0.0,0.0,BBCWorld,@BBCWorld,89
89,0.0,2018-06-10 02:09:41,1.0,0.0,0.0,BBCWorld,@BBCWorld @realDonaldTrump He lives in another unreal space where he makes things up.  @SenateGOP - can’t you see?,90
90,0.0,2018-06-10 02:09:36,1.0,0.0,0.0,BBCWorld,🤣😂🤣😂 https://t.co/KCtSSHuwzB,91
91,0.0,2018-06-10 02:09:33,1.0,0.0,0.0,BBCWorld,@BBCWorld Y #earthquake لإ #insiders At*least 12*Syrian soldiers*are killed*and a  tank*is damaged*after an*attack*… https://t.co/aKFEXva5UD,92
92,0.0,2018-06-10 02:09:11,1.0,0.0,0.0,BBCWorld,"@DFWY2313 @BBCWorld This is slander! I’m not a serial pooper, I will not stand for this",93
93,0.8225,2018-06-10 02:09:09,0.449,0.0,0.551,BBCWorld,may god always protect us and our loved ones https://t.co/4SlKTY6nqZ,94
94,0.5242,2018-06-10 02:09:08,0.47,0.0,0.53,BBCWorld,@BBCWorld Bless their hearts!!,95
95,-0.4215,2018-06-10 02:08:48,0.847,0.153,0.0,BBCWorld,"""I got stopped by a policeman...and he asked me to show my ID.
Afterwards I asked him why he stopped me. He said be… https://t.co/hH8vU6ahqs",96
96,0.6908,2018-06-10 02:08:48,0.737,0.0,0.263,BBCWorld,"@BBCWorld I lived in Japan for several years and have never,experienced a safer country. Ever. This is truly shocki… https://t.co/3wlurX5zsQ",97
97,-0.3182,2018-06-10 02:08:42,0.867,0.133,0.0,BBCWorld,"Thousands of uk citizens lost their life savings, pensions, homes bc of Soros. @DigglerUK @Winttocs @BBCWorld",98
98,-0.0516,2018-06-10 02:08:35,0.802,0.103,0.095,BBCWorld,"RT @BBCWorld: Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔
https://t.co/…",99
99,-0.7579,2018-06-10 02:08:24,0.723,0.277,0.0,BBCWorld,#TraitorTrump What will America do if it faces a real threat or attack? PUPPET Trump is aligned w Putin’s interest… https://t.co/kCEsOhKMYx,100
100,0.4215,2018-06-10 02:24:44,0.588,0.0,0.412,CBSNews,@Josh_MHO @bobsnsane1 @sablelulu @CBSNews True,1
101,0.0,2018-06-10 02:24:44,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",2
102,0.0,2018-06-10 02:24:41,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",3
103,0.0,2018-06-10 02:24:39,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",4
104,0.0,2018-06-10 02:24:38,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",5
105,0.0,2018-06-10 02:24:38,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",6
106,0.0,2018-06-10 02:24:35,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",7
107,0.0,2018-06-10 02:24:35,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",8
108,0.0,2018-06-10 02:24:34,1.0,0.0,0.0,CBSNews,"RT @selectedwisdom: Goal of Russia’s Influence US/EU elections - “win through force of politics rather than politics of force”, by helping…",9
109,0.0,2018-06-10 02:24:32,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",10
110,0.0,2018-06-10 02:24:30,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",11
111,0.0,2018-06-10 02:24:29,1.0,0.0,0.0,CBSNews,@piano807 @CBSNews So they said about Hitler.,12
112,0.5574,2018-06-10 02:24:28,0.765,0.0,0.235,CBSNews,"RT @CBSNews: President Trump says he may pardon Muhammad Ali, who does not need a pardon https://t.co/VwUVPwkYMQ https://t.co/RqRqj3eZbO",13
113,0.0,2018-06-10 02:24:25,1.0,0.0,0.0,CBSNews,RT @CBSNews: WATCH: Take a look at how the coastline of Hawaii's Big Island has changed since the Kilauea volcano began erupting five weeks…,14
114,0.0,2018-06-10 02:24:23,1.0,0.0,0.0,CBSNews,Man takes a knee during White House celebration for national anthem https://t.co/PSjdOph7Rm,15
115,-0.4767,2018-06-10 02:24:23,0.829,0.171,0.0,CBSNews,It's a sad day when our media (@WRAL @ABC11_WTVD @WNCN @abcnews @CBSNews @NBCNews @jcconway @jmgl @WRALmartha… https://t.co/WrZ4ZPnZio,16
116,-0.4404,2018-06-10 02:24:20,0.508,0.492,0.0,CBSNews,He is a fool https://t.co/eTrlP1MzIb,17
117,0.0,2018-06-10 02:24:16,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",18
118,-0.5256,2018-06-10 02:24:16,0.469,0.531,0.0,CBSNews,@CBSNews So Sad 😞😞😞,19
119,0.7269,2018-06-10 02:24:15,0.663,0.0,0.337,CBSNews,"Justify captures Triple Crown, wins 150th Belmont Stakes

https://t.co/s6F1PSCzoc

Shared from my Google feed",20
120,-0.7269,2018-06-10 02:24:13,0.79,0.21,0.0,CBSNews,"RT @samwhiteout: They killed him because they thought he was gay.

He was 8.

Miss me with the ""you're overreacting"" when it comes to homop…",21
121,-0.7269,2018-06-10 02:24:13,0.79,0.21,0.0,CBSNews,"RT @samwhiteout: They killed him because they thought he was gay.

He was 8.

Miss me with the ""you're overreacting"" when it comes to homop…",22
122,-0.4939,2018-06-10 02:24:12,0.685,0.222,0.093,CBSNews,"RT @Crazy_CanuckCan: @CBSNews @realDonaldTrump's drugs must have affected his ability to discern fact from fiction... War of 1812, Casius C…",23
123,0.0,2018-06-10 02:24:10,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",24
124,-0.6369,2018-06-10 02:24:07,0.846,0.154,0.0,CBSNews,RT @markdutcher: the Media is normalizing Putin who is a murderous dictator. why? They are doing the same with kim jong un. Why arent they…,25
125,0.0,2018-06-10 02:24:07,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",26
126,0.0,2018-06-10 02:24:05,1.0,0.0,0.0,CBSNews,"RT @KibBitzLaw: Kate Spade, Queen Maxima’s sister, &amp;  Anthony Bourdain.

Three “suicides” in 72 hours, all of which are connected &amp; each of…",27
127,0.0,2018-06-10 02:24:04,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",28
128,0.0,2018-06-10 02:24:04,1.0,0.0,0.0,CBSNews,@_23869832 @CBSNews ^^^^DIE^^^^EVIL^^^^SPAMMERS^^^^,29
129,-0.7034,2018-06-10 02:24:02,0.502,0.35,0.148,CBSNews,RT @RealCharlieK: Trudeau TRUE THIS HATERS GONNA HATE @POTUS @VP @realDonaldTrump @KellyannePolls  @EricTrump @DonaldJTrumpJr @JudgeJeanine…,30
130,0.0,2018-06-10 02:24:01,1.0,0.0,0.0,CBSNews,"Since you guys won't do your job and cover this, here it is for you. @ABC @NBCNews @CBSNews @MSNBC @CNN @maddow… https://t.co/9XkrWPQ1fd",31
131,0.4939,2018-06-10 02:23:59,0.738,0.0,0.262,CBSNews,@CBSNews #Trump makes us the laughing stock of the world.,32
132,0.0,2018-06-10 02:23:58,1.0,0.0,0.0,CBSNews,"RT @IamGMJohnson: They thought he was gay
They fed him animal feces
They beat him
They burned him with cigarettes
They thought he was gay…",33
133,-0.5106,2018-06-10 02:23:55,0.68,0.32,0.0,CBSNews,@jenrobertson2o2 @CBSNews It was. System failed multiple times.,34
